deltas,avg_delta_daily_steps,avg_delta_daily_steps,avg_delta_daily_steps,avg_delta_minutes_MVPAs,avg_delta_minutes_MVPAs,avg_delta_minutes_MVPAs,bs_iter,bs_iter,bs_iter
,mean,percentile_2.5,percentile_97.5,mean,percentile_2.5,percentile_97.5,mean,percentile_2.5,percentile_97.5
0,-64.47398732772669,-130.03903606910097,4.0958794324634535,-0.0009953330757334307,-2.5554418898422604,2.5975553373274862,499.5,24.975,974.025
5,11.035077003436278,-56.303200758538466,82.20185180572552,3.4463914471380153,0.7499415011506632,6.148020668355351,499.5,24.975,974.025
10,86.4764831337845,14.428107323050874,164.01548576907015,6.890689273871447,4.026824372258969,9.797633807419585,499.5,24.975,974.025
15,158.78645847915638,82.39827320036198,240.44629629518641,10.192020780112049,7.137315472584389,13.343227349586272,499.5,24.975,974.025
20,229.81594134339187,146.0637261382114,322.26033409602724,13.434891055363599,10.039542131479013,16.876254901314784,499.5,24.975,974.025
25,298.6782999061169,204.9759922242229,401.96188621199144,16.578820683763208,12.786669943730546,20.375640738358953,499.5,24.975,974.025
30,365.74321159792595,259.1594237276932,479.70162004493176,19.640687388514994,15.5155935215538,23.84947867792937,499.5,24.975,974.025
35,430.6328861568767,312.76004307764475,554.3085134235738,22.603243052902627,18.069677698825206,27.13899160781453,499.5,24.975,974.025
40,491.72279497285774,365.8049291925099,622.7446156119296,25.392319383302354,20.478624461129623,30.23763024991408,499.5,24.975,974.025
45,549.9692696200041,412.92406634115565,688.6324089240192,28.051577956709902,22.844284037456152,33.28072675095201,499.5,24.975,974.025
50,605.1061271091235,458.10142741743334,754.46182073136,30.568866116670254,24.982724761898012,36.04448612050411,499.5,24.975,974.025
55,655.126166291347,500.0775277050876,812.7064966585422,32.85254455117316,26.824140279031376,38.61508728648851,499.5,24.975,974.025
60,698.5527574744975,535.4927875712142,864.1759409635339,34.83519733174474,28.588006613159994,40.84645655846657,499.5,24.975,974.025
65,731.6480986622829,562.9853942420307,903.8854536616601,36.346174096031646,29.83344425713214,42.535304838396875,499.5,24.975,974.025
70,753.9210725850988,581.53125523256,929.8435836330046,37.36305275209355,30.672147837586813,43.73089367641852,499.5,24.975,974.025
75,768.0120530032362,593.2654814800555,946.1799228383043,38.0063802789809,31.20541868617076,44.46136594284834,499.5,24.975,974.025
80,775.9086986809433,599.8413920433293,955.3348771812274,38.366903775841685,31.519467070994345,44.870725724369485,499.5,24.975,974.025
85,779.6727098346029,602.9758622621847,959.6986731098308,38.53875072437209,31.66916511844335,45.06585095176253,499.5,24.975,974.025
90,781.0553060660536,604.1272155752511,961.3015822297576,38.60187352973201,31.72415219149102,45.13752433237734,499.5,24.975,974.025
95,781.4176570104734,604.4289623548674,961.721672795761,38.61841676022563,31.73856320853017,45.156308498401195,499.5,24.975,974.025
100,781.4461616165197,604.452699489298,961.7547195320042,38.61971814573379,31.739696861884056,45.15778616876651,499.5,24.975,974.025
105,781.4461616165197,604.452699489298,961.7547195320042,38.61971814573379,31.739696861884056,45.15778616876651,499.5,24.975,974.025
