bottom_ci,delta_WS_bin,mean,top_ci,Move Relation
0.012957386930115805,"(-16, 16]",0.2220280076522661,0.01410664628571931,Before Move
0.02166054864707878,"(-48, -16]",0.27516306903971244,0.02167754204440231,Before Move
0.07370986779561978,"(-80, -48]",0.4747812963670484,0.07068484463480679,Before Move
0.019594879846577762,"(16, 48]",0.19787138839209573,0.020482464084335517,Before Move
0.057614374780178806,"(48, 80]",0.2157709268747008,0.06331614400016075,Before Move
0.013868130984179938,"(-16, 16]",0.22653978288235824,0.012275581646694456,After Move
0.020103137392260273,"(-48, -16]",0.2192910067462605,0.02209269910635811,After Move
0.06102519963170505,"(-80, -48]",0.23112741577589468,0.06127024504281875,After Move
0.022110463606785646,"(16, 48]",0.29501215476681575,0.021733804621710318,After Move
0.07253793578232492,"(48, 80]",0.4265725857927932,0.07342741420720678,After Move
