difference,steps_per_min
-0.6485874527614177,10
-2.4145013577057446,11
-3.026597713414042,12
-1.9739532505319373,13
-2.0909677718785544,14
-2.3846975768196317,15
-1.3594742919485787,16
-2.3276670735059786,17
-1.8778920725968393,18
-0.9931005205716654,19
-1.2708468771938843,20
-0.9813457540880675,21
-1.0563658534134766,22
-0.6086447153179533,23
0.0742015557104716,24
-0.5907576039507081,25
0.1958626089350488,26
-1.1288951112497791,27
-0.7885546677035873,28
-0.7002651047791622,29
-0.37272574208930775,30
-0.16341792932526533,31
-0.5906715228999031,32
-0.803823356787817,33
-0.38811434115280474,34
-0.5980771333942823,35
0.04376245066420803,36
0.5314694882422799,37
0.15982820914552565,38
-1.0316759366051573,39
-0.13442421671768157,40
0.23023962276071208,41
0.05095229727669093,42
0.06101268751720035,43
0.18511966022340387,44
-0.4336529553066085,45
0.16251756912897652,46
-0.663642909218611,47
0.04421548313063317,48
0.01164710203470165,49
0.1447008756386413,50
0.5166419803457936,51
0.26873099732115424,52
0.6538099614107145,53
-0.16722578448532743,54
0.4118848441557924,55
0.43065888247834805,56
0.052662598986904285,57
-0.11434718290186008,58
0.7947552297577154,59
0.05715740264927249,60
0.18294875420666146,61
0.09408979837065523,62
0.24991723803665722,63
0.28990358213985373,64
0.45720137986609255,65
0.39866677652675653,66
0.16641549995399807,67
0.3275114366164795,68
0.49882319209866016,69
0.7733669908055837,70
0.5297625978554027,71
0.5452245994801088,72
0.5950436927174434,73
0.5078971976478407,74
0.6323664232594417,75
0.5371118181609622,76
0.5965906353052903,77
0.4894100421212586,78
0.36719364203715305,79
0.7429945663068012,80
0.8185741284599317,81
0.5171167499295297,82
0.5405840935120849,83
0.5686926639801602,84
0.7764214218014593,85
0.5698922217639675,86
0.5873537858629161,87
0.8112060363300758,88
0.572396915087525,89
0.9606565215938405,90
0.9982310550772977,91
1.2964902277325787,92
1.1837705641222986,93
0.8817983241318228,94
0.962342390752674,95
1.152063979080606,96
1.6795748529934957,97
1.5630803327765062,98
1.704245055572117,99
1.4133958253914494,100
1.9852957313283175,101
1.8969635895367052,102
1.9745595003745522,103
1.6206727849798326,104
2.1006545778938333,105
1.855791122594361,106
2.593584326719488,107
2.691399849533655,108
2.254138939782292,109
2.151292435716542,110
2.346668024990792,111
1.999810943993213,112
2.2627640195193104,113
1.9983862862708504,114
1.8417611999270216,115
1.6959484301441587,116
1.9910035220548106,117
1.8637377452286572,118
1.962763666175778,119
1.6082285689580347,120
1.6012548606657533,121
1.4751123649888034,122
1.224274445677017,123
0.8930649808148647,124
1.1021727753975024,125
0.9839150438630924,126
0.76836865381182,127
0.7603376222542647,128
0.5439721333016073,129
0.40908541578840796,130
0.304862728315064,131
0.3141529632655795,132
0.4295911763960753,133
0.29956582539854776,134
0.12921183441590223,135
0.20076119281690796,136
0.19854534424206133,137
0.21002304870521216,138
0.2395412242074733,139
0.20752562017289283,140
0.18767035755282846,141
0.18565576322273977,142
-0.01723721327343359,143
0.012925077826236087,144
0.118338262832406,145
0.12100792321193517,146
0.07293121567610678,147
0.12024395465570442,148
0.01932006411284839,149
0.1297993996131651,150
0.1451775295703245,151
0.158029825480584,152
0.1643917115802659,153
0.18986803478822026,154
0.16351249239190632,155
0.019359485168095804,156
0.09677566879275648,157
0.0031278882955231326,158
0.05204541263280013,159
-0.035756108142924375,160
0.014988789668707973,161
-0.012965055444494344,162
-0.009364814888018394,163
-0.00475254762038713,164
0.020465408749983413,165
0.059253954832161476,166
0.04816527447861353,167
0.13206576243349968,168
0.13923787181277983,169
0.04335444009278041,170
-0.01109510100585091,171
-0.06145588368039916,172
-0.08831918025784419,173
-0.005347818606444102,174
-0.0003420013660604161,175
0.0030168464737021315,176
0.03903782914898269,177
0.01660087781055595,178
0.031534518241417224,179
