bottom_ci,mean,move_relative_day,top_ci
168.98918165906252,6086.577596475604,-20,175.5968847637787
160.51702669364204,5825.876173354301,-19,161.11996500497207
163.1302442162123,5967.694743603386,-18,163.30418377560545
182.51555983713843,6046.249539823061,-17,168.90129116253502
189.57185030454275,6076.471841336628,-16,173.48955998932797
170.48913801865274,6157.973587309321,-15,168.8130890145867
173.8025213271103,6177.036788648929,-14,179.0527474699129
184.18501624803412,5941.642098619885,-13,189.25384982287778
175.74787810439375,6010.597172655255,-12,172.8073560839921
179.60421432462317,6023.177569084672,-11,191.33687090170133
166.89444701616594,5916.280525691586,-10,163.53587933628023
173.05821826725332,5923.246490497404,-9,193.06822513900988
162.78074190882944,5819.755090819063,-8,172.29611628981274
151.93069250964982,5586.978352283765,-7,150.67834196583317
130.8499097211161,5505.306516863441,-6,142.74927424728958
135.3672059955652,5689.291275207899,-5,154.5183335496249
139.83286085199143,5680.4410023991995,-4,137.4617946073149
141.7053986657029,5696.717604532658,-3,150.230222962291
139.95964062807798,5758.126187064263,-2,147.04176903418374
139.477728195463,6034.6315842143695,-1,156.80183209453662
142.9116125151877,6474.038611752292,0,155.81132463050835
165.94990372834673,6483.975021359863,1,174.60749627332825
172.9368017131519,6371.225710359018,2,176.84078502816556
167.20907267929306,6279.189005279955,3,177.70083336611788
175.25727540621938,6104.339239031218,4,185.9285810101146
168.81299057002525,6048.995692575123,5,190.32282877245416
187.63483949236434,6172.651803970122,6,176.59861741836266
166.90280951655222,6041.88703438176,7,184.56770450519252
166.38253956541848,5913.675886613853,8,162.67570448596234
163.0324046450387,6101.161181255232,9,197.68231864146674
166.52263908858822,6115.589986089613,10,172.8300770032838
164.46983130855278,5895.219522561004,11,174.23645023573408
169.9720654886869,5959.072328923999,12,185.24609834408693
167.63391347712877,5944.768960312432,13,156.72173435866262
162.1526551780571,6057.690113901087,14,176.99489788148094
169.3566107732695,6031.418499286091,15,180.31719295129187
171.88368106346388,6090.16419809934,16,164.46876958284702
174.20641720624099,5962.344618097246,17,167.77192076350457
160.67038953947122,6001.5657851249725,18,165.3961866708578
172.6751622067768,6107.2444765052,19,175.06114635000813
194.28791455388182,6111.856343155079,20,182.19071915006043
